Company,Category,ex-Nokian,Funding,Funding_dollar,Valuation,Core_dummy,experience,M&A,Founded,Revenue,,,,,,,,,,,,,,
ROVIO,game,Pekka Rantala,"€ 425,000,000","467,500,000 ",$342m,0,Project Manager,,,,,,,,,,,,,,,,,
Supercell,game,Niko Derome,"€ 130,000,000","143,000,000 ",$10.2b,0,SW engineer,"Tencent Holdings(84.3percent, $8.6b)",2010,,,,,,,,,,,,,,,
HMD Global,ecommerce,"Jean-Francois Baril, Pekka Rantala","€ 90,900,000","99,990,000 ",$400m-$600m,1,,,,,,,,,,,,,,,,,,
DataXu,SW,Mike Baker,"$85,800,000 ","85,800,000 ",$40m - $60m,0,Head of the Nokia Media Network,,,,,,,,,,,,,,,,,
Kiosked,adtech,Tero Ojanperä,"$79,800,000 ","79,800,000 ",$40m - $60m,1,CTO,,2014,,,,,,,,,,,,,,,
Varjo,tech(HW),"Urho Konttori, Jussi Mäkinen","€ 52,780,000","58,058,000 ",$124m-$186m,1,,,,"87,970 €  (2018)",,,,,,,,,,,,,,
Instana,SW,Fabian Lange,"$56,000,000 ","56,000,000 ",$120m - $180m ,0,SW architect,,2015,,,,,,,,,,,,,,,
Small Giant Games,SW,Timo Soininen,"€ 46,200,000","50,820,000 ",$700m,0,"Concept Manager, Sales Product Structure",,,,,,,,,,,,,,,,,
Paper Boat,Manufacturing,Suhas Misra,"$38,200,000 ","38,200,000 ",$6m - $9m,0,,,2009,,,,,,,,,,,,,,,
Apixio,SW,Bob Rogers,"$35,650,000 ","35,650,000 ",$77m - $116m,0,,,2009,,,,,,,,,,,,,,,
Freespee,SW,Juhani Polkko,"€ 24,000,000 ","26,400,000 ",€38m - €57m,0,Country Manager,,2009,,,,,,,,,,,,,,,
BetterDoctor,tech(SW),"Ari Tulla, Tapio Tolvanen","$25,900,000","25,900,000 ",$2m - $3m ,0,Head of App studios,Quest Analytics,,,,,,,,,,,,,,,,
Gild,SW,Luca Bonmassar,"$25,900,000 ","25,900,000 ",$54m - $81m,0,,,2011,,,,,,,,,,,,,,,
IndoorAtlas,SW,Inka Mero,"€ 22,200,000 ","24,420,000 ",€14m - €22m,0,Alliance Director,,2012,,,,,,,,,,,,,,,
Jolla,"Hardware, Mobile, Mobile Devices, Open Source, Software","Tomi Pienimäki, Marc Dillon","$24,400,000","24,400,000 ",$48m-$72m,0,CoreSW Integrator,,,,,,,,,,,,,,,,,
Teforia,SW,Kris Efland,"$17,100,000 ","17,100,000 ",$48m - $72m ,0,,,2014,,,,,,,,,,,,,,,
ZenRobotics,Manufacturing,Mika Nieminen,"€ 14,900,000 ","16,390,000 ",€52m - €78m,0,Nokia Network,,2007,,,,,,,,,,,,,,,
Next Games,,,"€ 14,600,000","16,060,000 ",€23.6m,,,,,,,,,,,,,,,,,,,
Zervant,SW,Mattias Hansson,"€ 13,700,000","15,070,000 ",€24m-€36m,,,,2010,,,,,,,,,,,,,,,
Aiven,SW,Hannu Valtonen,"$11,000,000","11,000,000 ",$36m-$54m,0,Nokia Network,,2015,,,,,,,,,,,,,,,
Valkee,Manufacturing,Antti Aunio,"€ 9,200,000","10,120,000 ",$39m - $58m,1,,,2007,,,,,,,,,,,,,,,
Sonde Health,SW,James Harper,"$10,000,000 ","10,000,000 ",,0,Senior technology marketing manager,,2015,,,,,,,,,,,,,,,
ShopAdvisor,SW,"Markku Rossi, Miikka Sainio","$9,600,000","9,600,000 ",$5m-$7m,1,Principal Architect,,2011,,,,,,,,,,,,,,,
Marvel,SW,"Murat Mutlu, Brendan Moore","€ 7,000,000 ","7,700,000 ",€18m - €27m,1,"Product Manager, Senior Solutions engineer",,2013,,,,,,,,,,,,,,,
Wandelbots,Manufacturing,Frank Fitz,"$6,800,000 ","6,800,000 ",$27m - $41m ,1,,,2017,,,,,,,,,,,,,,,
PlayRaven,,,"€ 6,100,000","6,710,000 ",€16m - €24m,,,,,,,,,,,,,,,,,,,
Senseye,SW,Alexander Hill,"€ 6,000,000 ","6,600,000 ",£14m - £21m,1,Engineering,,2014,,,,,,,,,,,,,,,
Netchemia,SW,Chris Weber,"$6,500,000 ","6,500,000 ",$46m - $65m ,0,Executive Vice President - Marketing,,,,,,,,,,,,,,,,,
CareerFoundry,SW,Martin Ramsin,"$6,390,000 ","6,390,000 ",$20m - $30m ,0,Product Manager for Nokia Ovi Maps mobile application,,2013,,,,,,,,,,,,,,,
Alpaca,SW,Yuki Hayashi,"$5,800,000 ","5,800,000 ",$12m - $18m,0,Senior Software Engineer,,,,,,,,,,,,,,,,,
Grundium,"Information Services, Information Technology","Mika Kuisma, Janne Haavisto, and Kimmo Alanen","€ 4,800,000","5,280,000 ",€8m - €12m,0,,,2015,,,,,,,,,,,,,,,
Ignited Artists,SW(game),Scott Foe,"$5,100,000 ","5,100,000 ",$20m - $31m,0,mobile game platform,,2014,,,,,,,,,,,,,,,
Wingit,SW,Alban Sayag,"€ 4,600,000 ","5,060,000 ",$480k - $720k ,0,venture development EMEA,,2012,,,,,,,,,,,,,,,
Haltian,Manufacturing,Ville Ylläsjärvi,"€ 4,500,000 ","4,950,000 ",€18m - €27m,1,Senior Product Manager,,2012,,,,,,,,,,,,,,,
Zoop,SW(mobile payment),Rodrigo Miranda,"$4,850,000 ","4,850,000 ",$13m - $20m,0,Program Manager/Relationship Manager,,2012,,,,,,,,,,,,,,,
AstroPrint,SW,Daniel Arroyo,"$4,300,000 ","4,300,000 ",$7m,0,"Chief Consultant, Solutions Architect",,2013,,,,,,,,,,,,,,,
SentiOne,SW,Kamil Bargiel,"€ 3,800,000 ","4,180,000 ",$14m - $21m ,0,"media, marketing campaigns",,2011,,,,,,,,,,,,,,,
Wellmo,SW,"Jaakko Olkkonen, Sampo Niskanen","€ 3,500,000 ","3,850,000 ",€5m - €8m,0,Head of Wellness business,,2012,,,,,,,,,,,,,,,
Boomlagoon,,Antti Sten,"$3,600,000","3,600,000 ",$14m-$22m,,,,,,,,,,,,,,,,,,,
Scout Finance,SW,Vivek Nasta,"$3,500,000 ","3,500,000 ",$7m - $11m,1,Senior Manager,,2014,,,,,,,,,,,,,,,
Joust Labs,SW,George Kurtyka,"$3,500,000 ","3,500,000 ",$14m - $21m,0,Head of Global Partnerships,,2015,,,,,,,,,,,,,,,
Pointcloud,SW,Remus Nicolaescu,"$3,300,000 ","3,300,000 ",$13m - $20m,0,Corporate Development director,,2017,,,,,,,,,,,,,,,
